Autorul anunțului,Număr de camere,Living,Suprafață totală,Fond locativ,Etaj,Număr de etaje,Starea apartamentului,Grup sanitar,Loc de parcare,price,Balcon/ lojie,Compartimentare,Dezvoltator,Tip clădire,Copii,Animale,Suprafață locativă,Suprafață bucătărie,Inălțimea tavanelor
Agenție,Apartament cu 1 cameră,,53 m²,Construcţii noi,2,11,Variantă albă,1,,75 000€,2,Individuală,,,,,,,
Persoană fizică,Apartament cu 1 cameră,,45 m²,Construcţii noi,2,9,,,,95 000€,,,,,,,0 m²,0 m²,0 cm
Persoană fizică,Apartament cu 2 camere,Apartament cu living,78 m²,Construcţii noi,2,13,Euroreparație,,,22€,1,Individuală,Exfactor-grup,Monolit,,,78 m²,,
Agenție,Apartament cu 5 camere sau mai multe,,133 m²,Secundar,1,1,Variantă sură,2,Sub acoperiș,129 000€,Nu,,,,,,,,
Agenție,Apartament cu 2 camere,Apartament cu living,160 m²,Construcţii noi,11,16,Euroreparație,2,,1 490€,1,,,,Se acceptă copii,Fără animale,,,
Dezvoltator imobiliar,Apartament cu 2 camere,Apartament cu living,95 m²,Construcţii noi,4,10,Euroreparație,2,Deschis,1 000€,1,,,,Se acceptă copii,Cu acordul stăpânului,,,
Agenție,Apartament cu 2 camere,,60 m²,Construcţii noi,1,1,,1,,125 000€,,,,,,,,,
Agenție,Apartament cu 2 camere,,41 m²,Secundar,3,5,,,,88 000€,,,,,,,,,
Persoană fizică,O cameră,,24 m²,Secundar,3,10,,,,37 000€,,,,,Se acceptă copii,Cu acordul stăpânului,18 m²,0 m²,0 cm
Agenție,Apartament cu 4 camere,,180 m²,Construcţii noi,5,9,,,,1 600€,,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,,41 m²,Construcţii noi,2,10,Euroreparație,1,Deschis,93 900€,1,,Astercon,Cotileț,,,,,
Persoană fizică,Apartament cu 1 cameră,,45 m²,Construcţii noi,4,13,Euroreparație,1,Deschis,800MDL,Nu,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 2 camere,,64 m²,Construcţii noi,7,7,Euroreparație,1,Deschis,115 200€,1,,Astercon,Cotileț,,,,,
Agenție,Apartament cu 3 camere,,97 m²,Construcţii noi,10,10,,2,Deschis,105 440€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,60 m²,Construcţii noi,7,11,Design individual,1,,800MDL,1,,,,Se acceptă copii,Fără animale,,,
Agenție,Apartament cu 3 camere,,90 m²,Construcţii noi,5,12,,,,118 830€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,60 m²,Construcţii noi,5,12,Euroreparație,,Deschis,122 000€,,Individuală,,,,,60 m²,,
