animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price
,Agenție,1,Individuală,,,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,34 m²,,64000
,Agenție,1,,,,10,Construcţii noi,1,,,,Apartament cu 1 cameră,15.0,Variantă albă,,48 m²,48 m²,Cărămidă,61900
,Dezvoltator imobiliar,,,,,10,Secundar,,,,,Apartament cu 4 camere,10.0,,,,83 m²,,139000
,Dezvoltator imobiliar,2,,,Exfactor-grup,3,Construcţii noi,1,275 cm,Apartament cu living,Subterană,Apartament cu 2 camere,9.0,Variantă albă,,,72 m²,Cărămidă,95750
,Agenție,1,Ms (serie  moldovenească),,,9,Secundar,1,,,,Apartament cu 2 camere,9.0,Euroreparație,,,57 m²,Beton,105000
,Persoană fizică,1,Brj (Brejnevka),,,4,Secundar,2,2500 cm,Apartament cu living,Garaj,Apartament cu 3 camere,5.0,Reparație cosmetică,,,65 m²,Cotileț,15000
,Agenție,,,,,7,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,Variantă albă,,,45 m²,,60400
,Agenție,1,,,,14,Construcţii noi,1,,,Subterană,Apartament cu 1 cameră,14.0,Euroreparație,,,43 m²,,123000
,Agenție,1,Individuală,,Exfactor-grup,3,Construcţii noi,2,,,Subterană,Apartament cu 2 camere,12.0,Euroreparație,,,108 m²,Combinat,190900
,Agenție,Nu,Individuală,,Dansicons,5,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,14.0,Euroreparație,,,60 m²,Beton celular,135000
,Persoană fizică,1,,,,3,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,29 m²,45 m²,,86500
,Dezvoltator imobiliar,3,Ms (serie  moldovenească),,,6,Secundar,2,,,Deschis,Apartament cu 4 camere,9.0,,9 m²,,86 m²,Panou,99900
,Dezvoltator imobiliar,1,,,,10,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,13.0,Variantă albă,,,77 m²,,122560
,Agenție,2,Individuală,,Eldorado Terra,6,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,67 m²,Combinat,123000
,Agenție,1,,,,3,Construcţii noi,1,0 cm,,Deschis,Apartament cu 1 cameră,9.0,Variantă albă,0 m²,0 m²,46 m²,,64400
,Agenție,,,,,2,Construcţii noi,,,,,Apartament cu 1 cameră,4.0,Euroreparație,,,56 m²,Cărămidă,109900
,Agenție,1,Individuală,,,9,Secundar,2,,,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,50 m²,Cotileț,98900
,Agenție,1,,,,13,Construcţii noi,1,,,,Apartament cu 2 camere,15.0,Variantă albă,,,65 m²,,127000
,Persoană fizică,,,,,5,Secundar,,,,,Apartament cu 1 cameră,6.0,,,,20 m²,,34800
,Agenție,1,,,,4,Construcţii noi,1,0 cm,,,Apartament cu 1 cameră,9.0,Variantă albă,0 m²,0 m²,44 m²,,65610
,Persoană fizică,1,143,,,1,Secundar,1,,,,Apartament cu 2 camere,10.0,Euroreparație,,56 m²,56 m²,,98500
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,,,Garaj,Apartament cu 3 camere,10.0,,,,80 m²,Cărămidă,128000
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,,57 m²,,124000
,Agenție,,,,,2,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,7.0,Euroreparație,0 m²,0 m²,67 m²,,195000
,Agenție,1,Individuală,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,16.0,Reparație cosmetică,,,54 m²,Monolit,71000
,Dezvoltator imobiliar,,,,,3,Construcţii noi,,,,,Apartament cu 2 camere,9.0,,,,52 m²,,134900
,Agenție,2,,,,8,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Variantă albă,,,78 m²,,136500
,Dezvoltator imobiliar,,,,,6,Secundar,,,Apartament cu living,,Apartament cu 1 cameră,9.0,,,,35 m²,,79900
Fără animale,Agenție,1,Individuală,Se acceptă copii,,2,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,28 m²,,79500
,Agenție,1,Individuală,,,5,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,10.0,Variantă albă,,,70 m²,Combinat,61300
,Agenție,Nu,Individuală,,,4,Construcţii noi,2,0 cm,,Deschis,Apartament cu 2 camere,12.0,Euroreparație,0 m²,0 m²,56 m²,,109900
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,9.0,Variantă albă,,,83 m²,Cărămidă,106650
,Agenție,,Individuală,,Sky House,7,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,0 m²,0 m²,39 m²,,105000
,Agenție,,,,Exfactor-grup,3,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,,,,53 m²,Cărămidă,145000
,Agenție,,,,,8,Construcţii noi,,,,,Apartament cu 2 camere,12.0,,,,88 m²,,154000
,Persoană fizică,4 și mai multe,,,,6,Secundar,1,0 cm,,Deschis,Apartament cu 4 camere,9.0,Euroreparație,0 m²,51 m²,86 m²,Panou,29000
,Persoană fizică,,Pe pămănt,,,1,Secundar,1,,Apartament cu living,Garaj,Apartament cu 4 camere,1.0,Are nevoie de reparație,,,130 m²,Cotileț,85000
,Agenție,,143,,,1,Secundar,1,,,,Apartament cu 1 cameră,9.0,,,,36 m²,,66900
,Dezvoltator imobiliar,1,,,Golban Trade,5,Construcţii noi,1,,Apartament fără living,Subterană,Apartament cu 3 camere,10.0,Variantă albă,,,70 m²,,73395
,Agenție,2,,,,1,Secundar,1,,,,Apartament cu 4 camere,5.0,Reparație cosmetică,,,87 m²,,105000
,Persoană fizică,1,Individuală,,,3,Construcţii noi,1,3000 cm,Apartament fără living,Deschis,Apartament cu 2 camere,6.0,Euroreparație,15 m²,40 m²,65 m²,Combinat,169000
,Dezvoltator imobiliar,1,,,Dansicons,3,Construcţii noi,,,,,Apartament cu 1 cameră,6.0,,,,41 m²,,37530
,Agenție,1,Individuală,,,4,Construcţii noi,1,0 cm,,Deschis,Apartament cu 2 camere,8.0,Variantă albă,0 m²,0 m²,57 m²,,79500
,Dezvoltator imobiliar,,,,,1,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,5.0,Variantă albă,,,92 m²,,169989
,Dezvoltator imobiliar,,,,Dansicons,9,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,10.0,Design individual,,,95 m²,,219000
,Dezvoltator imobiliar,,,,,7,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,9.0,,,,85 m²,,168900
Se acceptă animale,Agenție,1,,Se acceptă copii,,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,8.0,Euroreparație,,,83 m²,,131600
,Agenție,,,,,5,Secundar,,0 cm,,,Apartament cu 1 cameră,5.0,,0 m²,0 m²,35 m²,,35500
,Persoană fizică,,,,Dansicons,9,Construcţii noi,2,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,10.0,Euroreparație,,95 m²,95 m²,,219000
,Agenție,1,Individuală,,Exfactor-grup,1,Construcţii noi,2,275 cm,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Euroreparație,,75 m²,75 m²,Cărămidă,185000
,Dezvoltator imobiliar,,,,,7,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,,,,55 m²,,134900
,Dezvoltator imobiliar,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,14.0,Euroreparație,,,81 m²,,244900
,Agenție,2,Individuală,,,5,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,6.0,Euroreparație,,,140 m²,Combinat,407000
,Persoană fizică,Nu,Individuală,,Dansicons,2,Construcţii noi,2,2 cm,Apartament fără living,Deschis,Apartament cu 2 camere,10.0,Design individual,13 m²,,66 m²,Cotileț,170000
,Agenție,2,Individuală,,,5,Construcţii noi,1,260 cm,,Deschis,Apartament cu 2 camere,10.0,Euroreparație,22 m²,,53 m²,,98000
,Dezvoltator imobiliar,,,,,15,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,21.0,,,,48 m²,,119900
,Agenție,,,,Dansicons,1,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,9.0,Euroreparație,,,102 m²,,179000
,Agenție,1,Individuală,,,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,11.0,Euroreparație,,,48 m²,Cotileț,99900
,Agenție,1,Individuală,,,2,Secundar,2,,,Deschis,Apartament cu 4 camere,10.0,Euroreparație,,,100 m²,Combinat,159500
Se acceptă animale,Agenție,1,,Se acceptă copii,,8,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 4 camere,9.0,Variantă albă,,,134 m²,,134100
,Persoană fizică,,,,,1,Secundar,,,,Deschis,Apartament cu 2 camere,1.0,Fără reparație,,,50 m²,,46500
Se acceptă animale,Agenție,1,Individuală,Se acceptă copii,Astercon,6,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,66 m²,,129900
,Agenție,,,,,8,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,9.0,,,,37 m²,,54900
,Dezvoltator imobiliar,,,,Dansicons,5,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,6.0,Variantă albă,0 m²,0 m²,65 m²,,58860
Se acceptă animale,Agenție,1,,Se acceptă copii,,1,Secundar,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,43 m²,,109900
,Agenție,1,,,,15,Construcţii noi,1,260 cm,,Deschis,Apartament cu 2 camere,16.0,Euroreparație,20 m²,67 m²,67 m²,Monolit,129500
,Persoană fizică,,,,Exfactor-grup,8,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Design individual,,,51 m²,Cărămidă,81500
,Agenție,Nu,,,Varicom,8,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,,,48 m²,Combinat,103500
,Dezvoltator imobiliar,3,Individuală,,,3,Construcţii noi,2,260 cm,Apartament cu living,Deschis,Apartament cu 3 camere,3.0,Design individual,20 m²,157 m²,210 m²,Cotileț,255000
,Dezvoltator imobiliar,,,,,16,Construcţii noi,,,Apartament cu living,Deschis,Apartament cu 2 camere,16.0,Euroreparație,,,80 m²,,143000
,Agenție,1,,,,8,Secundar,1,,,,Apartament cu 2 camere,9.0,Euroreparație,,,40 m²,,84900
,Agenție,1,,,,5,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,47 m²,Cotileț,67000
,Agenție,,,,,2,Secundar,,,,,O cameră,5.0,Euroreparație,,,20 m²,,38500
,Agenție,1,,,,2,Construcţii noi,1,,,,Apartament cu 1 cameră,9.0,Variantă albă,,,41 m²,,51250
,Agenție,1,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,7.0,Euroreparație,,,70 m²,,145000
,Agenție,,Individuală,,,14,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,14.0,Euroreparație,,,83 m²,,278000
,Agenție,,,,,3,Construcţii noi,1,,,,Apartament cu 1 cameră,14.0,Euroreparație,,,46 m²,,63940
,Agenție,Nu,Individuală,,,9,Secundar,2,,,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,52 m²,,98900
,Agenție,1,Individuală,,,13,Construcţii noi,1,0 cm,,Deschis,Apartament cu 1 cameră,14.0,Variantă albă,,,57 m²,,80360
,Agenție,,,,,4,Secundar,1,,,,O cameră,5.0,Euroreparație,,,18 m²,,29500
,Dezvoltator imobiliar,,,,Inamstro,6,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,10.0,Design individual,,,69 m²,Combinat,165000
,Agenție,1,Individuală,,Lagmar Impex,2,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Construcție nefinisată,,,43 m²,Combinat,63825
,Agenție,,,,,7,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,64 m²,,155000
,Agenție,1,,,,1,Secundar,2,,Apartament cu living,Deschis,Apartament cu 3 camere,16.0,,,,73 m²,,145000
,Agenție,Nu,,,,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,53 m²,,91900
,Agenție,2,,,,15,Construcţii noi,2,0 cm,,Deschis,Apartament cu 2 camere,16.0,Variantă albă,0 m²,0 m²,109 m²,,125350
,Persoană fizică,2,,,,4,Secundar,1,,,,Apartament cu 4 camere,5.0,Are nevoie de reparație,14 m²,,81 m²,Panou,35000
,Dezvoltator imobiliar,1,Individuală,,Exfactor-grup,12,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,12.0,Euroreparație,,,75 m²,Cărămidă,250000
,Agenție,1,,,,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,75 m²,,175000
Fără animale,Agenție,1,Individuală,Se acceptă copii,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,17.0,Euroreparație,,,65 m²,,154900
,Persoană fizică,1,,,,1,Secundar,2,0 cm,Apartament cu living,Deschis,Apartament cu 3 camere,16.0,Euroreparație,0 m²,0 m²,78 m²,,145000
,Agenție,,Ms (serie  moldovenească),,,2,Secundar,2,,Apartament fără living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,55 m²,Panou,131500
,Agenție,2,Individuală,,,7,Secundar,2,255 cm,,Deschis,Apartament cu 3 camere,12.0,Reparație cosmetică,8 m²,40 m²,70 m²,Panou,88900
,Agenție,1,Individuală,,,8,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,38 m²,38 m²,Combinat,95000
Fără animale,Agenție,Nu,Individuală,Se acceptă copii,,6,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Fără reparație,,,38 m²,,74500
Fără animale,Agenție,2,Individuală,Se acceptă copii,,10,Construcţii noi,2,,,Deschis,Apartament cu 4 camere,10.0,Variantă albă,,,128 m²,,149000
,Agenție,1,,,,5,Construcţii noi,2,,,,Apartament cu 2 camere,15.0,Euroreparație,,,86 m²,,188000
,Agenție,,Individuală,,,3,Construcţii noi,,,,Garaj,Apartament cu 2 camere,3.0,Euroreparație,,,74 m²,Cărămidă,125000
,Persoană fizică,,,,,5,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,16.0,,,,65 m²,,92000
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 1 cameră,5.0,,,,18 m²,,29500
,Agenție,2,Ms (serie  moldovenească),,,7,Secundar,2,,,Deschis,Apartament cu 3 camere,9.0,Reparație cosmetică,,,69 m²,Panou,78000
,Agenție,1,Individuală,,Inamstro,13,Construcţii noi,1,0 cm,Apartament cu living,Subterană,Apartament cu 3 camere,13.0,Variantă albă,0 m²,0 m²,86 m²,Combinat,219900
,Persoană fizică,1,,,Reconscivil,5,Construcţii noi,2,,,Deschis,Apartament cu 4 camere,6.0,Euroreparație,,132 m²,132 m²,Cotileț,244900
,Dezvoltator imobiliar,,,,,1,Construcţii noi,,,,,Apartament cu 1 cameră,10.0,Reparație cosmetică,,,63 m²,,94989
,Dezvoltator imobiliar,1,,,,5,Construcţii noi,2,275 cm,,Subterană,Apartament cu 3 camere,12.0,Variantă albă,14 m²,80 m²,88 m²,Combinat,99440
,Agenție,1,Cămin familial,,,3,Secundar,,,,,O cameră,5.0,Reparație cosmetică,,16 m²,16 m²,Cotileț,27000
,Agenție,Nu,,,Estate Invest Company,3,Construcţii noi,2,0 cm,Apartament cu living,,Apartament cu 2 camere,11.0,Variantă albă,0 m²,75 m²,75 m²,Cărămidă,73500
,Persoană fizică,1,,,Eldorado Terra,6,Construcţii noi,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,11.0,Euroreparație,0 m²,0 m²,70 m²,,125000
,Dezvoltator imobiliar,1,,,,4,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,9.0,,,,44 m²,,52428
,Agenție,1,Individuală,,,2,Secundar,1,,,Deschis,Apartament cu 2 camere,6.0,Euroreparație,,47 m²,48 m²,Cotileț,98000
,Agenție,,Varț (Varnițkaia),,,3,Secundar,1,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,55 m²,55 m²,,99500
,Dezvoltator imobiliar,1,,,,3,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,5.0,Variantă albă,,,60 m²,,73953
,Agenție,,,,Dansicons,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,94 m²,94 m²,Cărămidă,219000
,Agenție,,,,,7,Construcţii noi,,,,,Apartament cu 1 cameră,10.0,Euroreparație,,,35 m²,Cărămidă,80500
,Agenție,2,Individuală,,Gonvaro-Con,5,Construcţii noi,2,,,,Apartament cu 2 camere,9.0,Euroreparație,,,73 m²,Cotileț,165000
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,10.0,,,,55 m²,,108500
,Agenție,1,Individuală,,Kirsan,7,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,40 m²,Beton celular,88500
Se acceptă animale,Persoană fizică,,,Se acceptă copii,,4,Secundar,1,,,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,18 m²,,29500
,Agenție,1,,,,9,Construcţii noi,1,,,,Apartament cu 2 camere,12.0,Euroreparație,,,74 m²,,199000
,Agenție,,,,,9,Construcţii noi,,,,,Apartament cu 2 camere,14.0,,,,81 m²,,245000
,Persoană fizică,1,Individuală,,,4,Construcţii noi,1,280 cm,,Deschis,Apartament cu 2 camere,12.0,Euroreparație,16 m²,83 m²,83 m²,Combinat,150000
,Dezvoltator imobiliar,1,,,,6,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,11.0,Variantă albă,,,43 m²,Cotileț,46000
,Agenție,,Individuală,,,7,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Variantă albă,,,53 m²,,57500
,Agenție,,,,,6,Construcţii noi,2,,,,Apartament cu 3 camere,9.0,Variantă albă,,,90 m²,,89900
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,16.0,Variantă albă,,,46 m²,,80000
,Agenție,,,,,8,Secundar,2,0 cm,,,Apartament cu 2 camere,16.0,,0 m²,0 m²,61 m²,,93000
,Agenție,2,,,,1,Secundar,2,,,Deschis,Apartament cu 4 camere,5.0,Reparație cosmetică,,,122 m²,,150000
,Agenție,,,,,4,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Variantă albă,,,80 m²,,75000
,Agenție,,,,Horus,4,Construcţii noi,,0 cm,,,Apartament cu 2 camere,18.0,,0 m²,0 m²,66 m²,,99000
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,7.0,,,,46 m²,,40900
,Agenție,,,,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,42 m²,,98000
,Agenție,1,,,Estate Invest Company,5,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,9.0,Construcție nefinisată,,,57 m²,Cărămidă,77400
,Persoană fizică,,,,,2,Secundar,,,Apartament cu living,,Apartament cu 2 camere,2.0,Fără reparație,,,40 m²,Cotileț,26000
,Agenție,,,,Inamstro,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,,90 m²,Cărămidă,245000
,Agenție,1,,,Lagmar Impex,6,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 2 camere,8.0,Euroreparație,,,72 m²,,239900
,Persoană fizică,1,Individuală,,Vlaviocons,8,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,10.0,Design individual,,64 m²,64 m²,Monolit,180000
,Persoană fizică,1,,,,9,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Euroreparație,,,76 m²,,189000
,Agenție,,,,,4,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,4.0,Euroreparație,,,59 m²,,88900
,Agenție,1,Individuală,,,8,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,11.0,Variantă albă,,,96 m²,,121500
,Agenție,2,Individuală,,,3,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,7.0,Construcție nefinisată,,,85 m²,Cotileț,81000
,Agenție,,,,,1,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 3 camere,9.0,Euroreparație,0 m²,0 m²,86 m²,,179000
Fără animale,Agenție,Nu,Individuală,Se acceptă copii,,8,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,13.0,Euroreparație,,,40 m²,,99500
Fără animale,Agenție,Nu,Individuală,Se acceptă copii,,3,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Fără reparație,,,33 m²,,59500
,Persoană fizică,,,,,7,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,,,,79 m²,,169999
,Persoană fizică,2,,,,5,Construcţii noi,2,280 cm,Apartament cu living,Deschis,Apartament cu 2 camere,13.0,Euroreparație,94 m²,94 m²,94 m²,,159800
,Persoană fizică,2,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,9.0,Variantă sură,,,77 m²,,119000
,Agenție,1,,,,1,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,1.0,Reparație cosmetică,,,110 m²,,299900
,Agenție,1,,,Lagmar Impex,9,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,13.0,Euroreparație,,,70 m²,,185000
,Dezvoltator imobiliar,1,,,,6,Secundar,1,0 cm,,,Apartament cu 2 camere,6.0,Euroreparație,0 m²,0 m²,58 m²,Cotileț,51000
,Dezvoltator imobiliar,,,,Dansicons,3,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 3 camere,6.0,Variantă albă,0 m²,0 m²,74 m²,,67100
,Dezvoltator imobiliar,,,,Inamstro,6,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,13.0,Variantă albă,,,58 m²,,136000
,Dezvoltator imobiliar,,143,,,9,Secundar,1,250 cm,,,Apartament cu 2 camere,9.0,Euroreparație,8 m²,30 m²,58 m²,,150000
,Agenție,2,,,Reconscivil,5,Construcţii noi,2,,Apartament cu living,Garaj,Apartament cu 3 camere,11.0,Euroreparație,,,192 m²,Cotileț,269000
,Dezvoltator imobiliar,,,,,7,Construcţii noi,,,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,,,43 m²,Cărămidă,65550
,Agenție,1,Individuală,,,1,Secundar,2,,,,Apartament cu 3 camere,16.0,Euroreparație,,,71 m²,,145000
,Dezvoltator imobiliar,,,,,6,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 1 cameră,10.0,,0 m²,0 m²,52 m²,,95900
,Persoană fizică,,,,,1,Secundar,,,,,Apartament cu 3 camere,2.0,,,,53 m²,,61000
,Persoană fizică,,,,Gonvaro-Con,2,Construcţii noi,2,,Apartament cu living,Garaj,Apartament cu 2 camere,8.0,Variantă albă,,,80 m²,,120000
,Agenție,1,,,,6,Construcţii noi,2,,,,Apartament cu 1 cameră,12.0,Variantă albă,,,44 m²,,72000
,Agenție,1,,,,3,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,7.0,Euroreparație,,,65 m²,Combinat,141500
,Dezvoltator imobiliar,Nu,Individuală,,Inamstro,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,55 m²,56 m²,Combinat,139000
,Agenție,1,,,,1,Construcţii noi,2,,,,Apartament cu 3 camere,10.0,Euroreparație,,,178 m²,,189000
,Agenție,2,Individuală,,,6,Secundar,1,260 cm,Apartament fără living,Deschis,Apartament cu 1 cameră,6.0,Reparație cosmetică,8 m²,18 m²,35 m²,Combinat,41500
Fără animale,Agenție,1,Individuală,Se acceptă copii,,11,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,Euroreparație,,,55 m²,,137700
,Agenție,1,,,,7,Construcţii noi,2,,,,Apartament cu 2 camere,10.0,Variantă albă,,,80 m²,,137900
,Agenție,1,Individuală,,Exfactor-grup,7,Construcţii noi,2,0 cm,Apartament fără living,Deschis,Apartament cu 2 camere,9.0,Euroreparație,0 m²,0 m²,85 m²,Cărămidă,179000
,Dezvoltator imobiliar,,,,,3,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,9.0,,,,77 m²,,88918
,Agenție,1,,,,2,Construcţii noi,1,,,,Apartament cu 1 cameră,10.0,Variantă albă,,,44 m²,,46200
,Dezvoltator imobiliar,1,Individuală,,Inamstro,5,Construcţii noi,1,300 cm,,Subterană,Apartament cu 4 camere,9.0,Variantă albă,32 m²,61 m²,81 m²,Combinat,156400
,Agenție,,,,,16,Construcţii noi,,,,,Apartament cu 3 camere,16.0,,,,64 m²,,105600
,Persoană fizică,1,,,Rodaris Pro,4,Construcţii noi,1,270 cm,Apartament cu living,Sub acoperiș,Apartament cu 3 camere,8.0,Design individual,10 m²,,80 m²,Combinat,150000
,Agenție,,,,,5,Secundar,,,,,Apartament cu 1 cameră,5.0,Euroreparație,,,33 m²,Cotileț,68500
,Agenție,,,,,20,Construcţii noi,,0 cm,,,Apartament cu 4 camere,21.0,Variantă albă,0 m²,0 m²,95 m²,,153000
,Agenție,,,,,1,Secundar,,,Apartament cu living,,Apartament cu 3 camere,16.0,Euroreparație,,,78 m²,,145000
,Agenție,,,,,6,Construcţii noi,,,,,Apartament cu 2 camere,9.0,Euroreparație,,,85 m²,,109900
,Agenție,1,Individuală,,,5,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,9.0,Variantă albă,,,90 m²,,207900
,Agenție,1,,,,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,50 m²,,87900
,Persoană fizică,1,Ms (serie  moldovenească),,,4,Secundar,2,0 cm,,,Apartament cu 3 camere,10.0,,0 m²,0 m²,68 m²,Panou,190000
,Agenție,1,Individuală,,,8,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,10.0,Variantă albă,,,35 m²,,51500
,Persoană fizică,3,Individuală,,AlimConstruct Grup,1,Construcţii noi,1,3 cm,Apartament cu living,Deschis,Apartament cu 3 camere,3.0,Design individual,20 m²,80 m²,85 m²,Cotileț,180000
,Agenție,,,,,5,Secundar,,,,,Apartament cu 1 cameră,5.0,Reparație cosmetică,,,23 m²,,28000
,Agenție,Nu,Individuală,,M.V.Construct Service,7,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,10.0,Construcție nefinisată,,,90 m²,Combinat,117000
Fără animale,Persoană fizică,1,Cămin familial,Fără copii,,1,Secundar,1,2 cm,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Are nevoie de reparație,23 m²,40 m²,40 m²,Cărămidă,40000
,Persoană fizică,1,135,,,9,Secundar,2,,,,Apartament cu 3 camere,10.0,Reparație cosmetică,,,68 m²,,89900
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,1,Secundar,1,,Apartament fără living,Deschis,Apartament cu 3 camere,1.0,Euroreparație,,,60 m²,,144900
,Agenție,Nu,,,Basconslux,11,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,11.0,Euroreparație,,,70 m²,,159000
