animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price,region,is_penthouse
,Dezvoltator imobiliar,2,Individuală,,,3.0,Construcţii noi,1.0,2.75,Apartament cu living,Subterană,3,9.0,Variantă albă,,,67,Cărămidă,83000,Chișinău_Botanica,0
Se acceptă animale,Agenție,Nu,Individuală,Se acceptă copii,,1.0,Secundar,1.0,,Apartament cu living,Deschis,4,2.0,Reparație cosmetică,,,47,,170000,Chișinău_Centru,0
,Agenție,1,Individuală,,,16.0,Construcţii noi,2.0,,Apartament cu living,,5,17.0,Variantă albă,,,140,,280000,Chișinău_Râșcani,0
,Persoană fizică,1,Individuală,,Solomon Construct Imobil,4.0,Construcţii noi,2.0,,Apartament cu living,Subterană,4,10.0,Variantă albă,,,86,,129960,Chișinău_Botanica,0
,Persoană fizică,1,Brj (Brejnevka),,,2.0,Secundar,2.0,,,Deschis,4,5.0,Variantă albă,,,52,Cotileț,77800,Chișinău_Botanica,0
,Agenție,,Individuală,,,7.0,Construcţii noi,1.0,,,Deschis,2,17.0,Euroreparație,,,56,,115000,Chișinău_Botanica,0
,Agenție,1,Individuală,,Basconslux,10.0,Construcţii noi,1.0,,,Deschis,4,10.0,Euroreparație,,,64,Beton celular,146500,Chișinău_Telecentru,0
,Agenție,Nu,Individuală,,,1.0,Secundar,1.0,,,Deschis,2,2.0,Euroreparație,,,22,Cotileț,38900,Chișinău_Centru,0
,Dezvoltator imobiliar,,Individuală,,NG Invest,8.0,Construcţii noi,1.0,,,,2,9.0,Variantă albă,,,46,Cărămidă,45500,Chișinău_Durlești,0
,Agenție,2,Individuală,,,12.0,Construcţii noi,2.0,,,,4,17.0,Euroreparație,,,120,,340000,Chișinău_Râșcani,0
,Persoană fizică,,Individuală,,,3.0,Construcţii noi,1.0,,Apartament cu living,,3,4.0,,,,67,,139000,Chișinău_Centru,0
,Agenție,1,Individuală,,,6.0,Construcţii noi,1.0,2.8,Apartament cu living,Deschis,3,6.0,,,64 m²,64,,62500,Hîncești_Centru,0
,Agenție,1,Individuală,,Dansicons,7.0,Construcţii noi,2.0,,,,4,7.0,Euroreparație,,,75,Combinat,129500,Chișinău_Telecentru,0
,Dezvoltator imobiliar,,Individuală,,,7.0,Secundar,1.0,0.0,Apartament cu living,,3,7.0,Euroreparație,0 m²,0 m²,46,,69000,Chișinău_Buiucani,0
,Agenție,,Individuală,,,9.0,Construcţii noi,2.0,,,,3,9.0,Euroreparație,,,93,,220000,Chișinău_Centru,0
